축제명,축제 유형,개최 장소,,개최기간,,,,,,,공연 날짜,방문객수
,,지역,,시작일,,,종료일,,,"총
일수",,전체
,,시군구,읍면동,년,월,일,년,월,일,,,
아기연어 보내기 체험행사,생태자연,양양군,양양읍,2023,3,3,2023,3,5,3,,"1,400"
양양송이연어축제,"특산물, 생태자연",양양군,양양읍,2023,10,4,2023,10,8,5,"4, 5, 6, 7","192,267"
춘천막국수닭갈비축제,지역특산물,춘천시,강남동,2024,6,18,2024,6,23,6,,"128,373"
2025 댄싱카니발,문화예술,원주시,명륜1동,2024,10,4,2024,10,6,3,,"318,718"
원주 한지문화제,문화예술,원주시,무실동,2024,9,20,2024,9,29,10,,"260,000"
용수골꽃양귀비축제,문화예술,원주시,판부면,2024,5,17,2024,6,6,21,,"35,176"
장미축제,문화예술,원주시,단계동,2024,5,29,2024,6,2,5,,"46,000"
섬강축제,문화예술,원주시,지정면,2024,9,6,2024,9,8,3,,"6,000"
남한강 코스모스 축제,문화예술,원주시,부론면,2024,9,7,2024,9,7,1,,700
신월랑 달빛 축제,문화예술,원주시,행구동,2024,6,21,2024,6,23,3,,200
제11회 치악산한우 축제,지역특산물,원주시,"명륜1동,명륜2동",2024,6,13,2024,6,15,3,,"4,174"
제24회 치악산 복숭아 축제,지역특산물,원주시,명륜1동,2024,8,17,2024,8,18,2,,"7,000"
제4회 치악산 고구마 축제,지역특산물,원주시,지정면,2024,10,19,2024,10,20,2,,"10,000"
제31회 국제걷기대회,문화예술,원주시,명륜1동,2024,10,26,2024,10,27,2,,"10,473"
2025 원주만두축제,지역특산물,원주시,중앙동,2024,10,25,2024,10,27,3,,"520,517"
원주문화의거리 치맥축제,주민화합,원주시,중앙동,2024,9,4,2024,9,7,4,,"70,000"
경포 벚꽃 축제,자연생태,강릉시,경포동,2024,4,5,2024,4,10,6,,"300,000"
남산 벚꽃 축제,자연생태,강릉시,강남동,2024,3,29,2024,4,3,6,,"3,500"
난설헌문화제,문화예술,강릉시,초당동,2024,4,27,2024,4,28,2,,"2,000"
초당 미식로드 축제,지역특산물,강릉시,초당동,2024,5,18,2024,5,18,1,,"2,000"
강릉 차문화 축제,문화예술,강릉시,경포동,2024,5,24,2024,5,26,3,,"26,600"
2025 강릉단오제,전통역사,강릉시,중앙동,2024,6,6,2024,6,13,8,,"710,000"
강릉 비치비어 페스티벌,문화예술,강릉시,초당동,2024,6,28,2024,6,30,3,,"51,000"
경포 썸머 페스티벌,문화예술,강릉시,초당동,2024,7,30,2024,8,5,7,"7/30, 7/31, 8/1, 8/2, 8/3, 8/4, 8/5","54,080"
강릉 국가유산 야행,전통역사,강릉시,중앙동,2024,8,15,2024,8,17,3,,"149,000"
경포 등 축제,전통역사,강릉시,경포동,2024,9,14,2024,9,18,5,,"91,855"
제4회 강릉 누들 축제,지역특산물,강릉시,중앙동,2024,10,18,2024,10,20,3,,"50,360"
제 17회 강릉커피축제,주민화합,강릉시,송정동,2024,10,24,2024,10,27,4,,"440,000"
2025 강릉크리스마스 겨울축제,주민화합,강릉시,중앙동,2024,12,21,2024,12,25,5,,"20,000"
제12회 전천축제,문화예술,동해시,북평동,2024,4,26,2024,4,28,3,,"60,000"
2025 무릉별유천지 라벤더축제,자연생태,동해시,삼화동,2024,6,8,2024,6,23,16,,"75,127"
2025 묵호 도째비 페스타,주민화합,동해시,묵호동,2024,7,19,2024,7,21,3,"7/19, 7/20","65,000"
제7회 묵호등대 논골담길 축제,문화예술,동해시,묵호동,2024,8,30,2024,8,30,2,,500
제3회 발한칼국수 축제,문화예술,동해시,발한동,2024,10,19,2024,10,20,2,,"10,000"
제32회 태백산 눈축제,문화예술,태백시,"문곡소도동,상장동",2024,1,26,2024,2,4,10,,"585,364"
제10회 한강낙동강발원지 축제,문화예술,태백시,상장동,2024,7,27,2024,8,4,9,,"177,063"
2025 영랑호 벚꽃축제,자연생태,속초시,금호동,2024,3,30,2024,3,31,2,,"40,000"
2025 설악무산문화축전,문화예술,속초시,조양동,2024,6,7,2024,6,9,3,,"50,000"
2025 실향민 문화축제,문화예술,속초시,조양동,2024,6,14,2024,6,16,3,,"75,062"
2025 속초썸머페스티벌,문화예술,속초시,조양동,2024,8,9,2024,8,11,3,"8/8, 9, 10","110,000"
제60회 설악문화제,기타,속초시,"조앙동,금호동",2024,10,4,2024,10,6,3,"4, 6","101,012"
삼척정원대보름제,전통역사,삼척시,"성내동,교동",2024,2,23,2024,2,25,3,23,"74,400"
제21회 삼척맹방유채꽃축제,자연생태,삼척시,근덕면,2024,3,29,2024,4,14,17,"3/30, 4/13","264,754"
삼척 장미축제,자연생태,삼척시,정라동,2024,5,18,2024,5,22,5,"19, 20, 21, 22","350,000"
삼척동해왕이사부축제,전통역사,삼척시,성내동,2024,7,20,2024,7,21,2,,"42,000"
"제16회 삼척평생학습박람회 및 
제6회 책축제",문화예술,삼척시,성내동,2024,10,19,2024,10,20,2,,"15,000"
2025 삼척 문화유산 야행,전통역사,삼척시,성내동,2024,10,25,2024,10,27,3,,"19,590"
제13회 홍천강 꽁꽁축제,전통역사,홍천군,홍천읍,2024,1,5,2024,1,21,17,,"161,155"
제7회 홍천산나물축제,지역특산물,홍천군,홍천읍,2024,4,26,2024,4,28,3,,"36,045"
제29회 홍천찰옥수수축제,지역특산물,홍천군,홍천읍,2024,7,19,2024,7,21,3,,"26,850"
제9회 홍천강 별빛음악 맥주축제,지역특산물,홍천군,홍천읍,2024,7,31,2024,8,4,5,"31, 1, 2, 3, 4","131,189"
제23회 홍천 인삼한우 명품축제,지역특산물,홍천군,홍천읍,2024,10,3,2024,10,6,4,"3, 5","100,472"
제10회 홍천사과축제,지역특산물,홍천군,홍천읍,2024,11,1,2024,11,3,3,,"40,815"
제21회 횡성한우축제,지역특산물,횡성군,횡성읍,2024,10,2,2024,10,6,5,"2, 3, 4, 5, 6","302,000"
제14회 둔내고랭지토마토축제,지역특산물,횡성군,둔내면,2024,8,9,2024,8,11,3,"8/9, 10, 11","30,977"
제12회 횡성더덕축제,지역특산물,횡성군,청일면,2024,9,6,2024,9,8,3,6,"33,031"
제17회 안흥찐빵축제,지역특산물,횡성군,안흥면,2024,10,11,2024,10,13,3,11,"45,241"
제6회 횡성호수길축제,주민화합,횡성군,갑천면,2024,5,10,2024,5,12,3,10,"13,560"
제3회 소(牛)맥 프리미엄 페스티벌,주민화합,횡성군,공근면,2024,8,23,2024,8,25,3,,"7,500"
제4회 태종노구문화제,전통역사,횡성군,강림면,2024,9,28,2024,9,29,2,,"2,368"
단종문화제,전통역사,영월군,영월읍,2024,4,26,2024,4,28,3,26,"50,990"
동강뗏목축제,문화예술,영월군,영월읍,2024,8,2,2024,8,4,3,"8/2, 3, 4","75,335"
김삿갓문화제,전통역사,영월군,김삿갓면,2024,10,11,2024,10,13,3,,"19,739"
2025년 평창더위사냥축제,자연생태,평창군,대화면,2024,7,26,2024,8,4,10,,"33,670"
2025년 평창효석문화제,지역특산물,평창군,봉평면,2024,9,6,2024,9,15,10,,"140,357"
2025년 평창농악축제,전통역사,평창군,용평면,2024,9,13,2024,9,16,4,,"7,500"
