festival_name,dong_name,lat,lng,address,matched
2024 청춘양구 곰취축제,양구읍,38.1080405251365,127.990430398263,강원특별자치도 양구군 양구읍,강원특별자치도 양구군 양구읍
2024 국토정중앙 청춘양구 배꼽축제,양구읍,38.1080405251365,127.990430398263,강원특별자치도 양구군 양구읍,강원특별자치도 양구군 양구읍
2024 청춘양구 펀치볼 시래기 사과 축제,해안면,38.2851684890133,128.137124728997,강원특별자치도 양구군 해안면,강원특별자치도 양구군 해안면
국토정중앙 양구 보름달축제,국토정중앙면,38.1084781281203,128.034570007438,강원특별자치도 양구군 국토정중앙면,강원특별자치도 양구군 국토정중앙면
제24회 용대황태축제,북면,38.1975593273557,128.343433718851,강원특별자치도 인제군 북면 용대리,용대리황태축제
제42회 합강문화제,인제읍,38.185896082179866,128.30971524708275,강원특별자치도 인제군 북면 용대리 1821-3,인제가을꽃축제
2024 봉포리 죽도 하트썸 축제,토성면,38.257289697991,128.558906495609,강원특별자치도 고성군 토성면,강원특별자치도 고성군 토성면
해안선 레저스포츠 페스티벌,죽왕면,38.3238915793443,128.527431946393,강원특별자치도 고성군 죽왕면 오호리 68-10,봉수대해변
제42회 군민의 날 및 수성문화제,간성읍,38.3783819019248,128.466855795807,강원특별자치도 고성군 간성읍,강원특별자치도 고성군 간성읍
제24회 고성통일명태축제,거진읍,38.4442855335667,128.4552002737,강원특별자치도 고성군 거진읍 거진리 22-28,거진11리해변
아기연어 보내기 체험행사,양양읍,38.0717137080284,128.624269870981,강원특별자치도 양양군 양양읍 남문리 362,남대천
양양송이연어축제,양양읍,38.0717137080284,128.624269870981,강원특별자치도 양양군 양양읍 남문리 362,남대천
춘천막국수닭갈비축제,온의동,37.8668654361775,127.715491177909,강원특별자치도 춘천시 온의동,강원특별자치도 춘천시 온의동
2025 댄싱카니발,명륜1동,37.3377079319141,127.950692020858,강원특별자치도 원주시 명륜1동,강원특별자치도 원주시 명륜1동
원주 한지문화제,무실동,37.3381922463301,127.929199369693,강원특별자치도 원주시 무실동,강원특별자치도 원주시 무실동
용수골꽃양귀비축제,판부면,37.2682792088618,128.01295599715,강원특별자치도 원주시 판부면,강원특별자치도 원주시 판부면
장미축제,단계동,37.3526136221706,127.934460509721,강원특별자치도 원주시 단계동,강원특별자치도 원주시 단계동
섬강축제,지정면,37.3621506214657,127.840189486855,강원특별자치도 원주시 지정면,강원특별자치도 원주시 지정면
남한강 코스모스 축제,부론면,37.2076020452332,127.750494148523,강원특별자치도 원주시 부론면,강원특별자치도 원주시 부론면
신월랑 달빛 축제,행구동,37.3425902881859,127.983876967283,강원특별자치도 원주시 행구동,강원특별자치도 원주시 행구동
제11회 치악산한우 축제,명륜동,37.3412372351316,127.953255255916,강원특별자치도 원주시 명륜동,강원특별자치도 원주시 명륜동
제24회 치악산 복숭아 축제,명륜1동,37.3377079319141,127.950692020858,강원특별자치도 원주시 명륜1동,강원특별자치도 원주시 명륜1동
제4회 치악산 고구마 축제,지정면,37.3621506214657,127.840189486855,강원특별자치도 원주시 지정면,강원특별자치도 원주시 지정면
제31회 국제걷기대회,명륜1동,37.3377079319141,127.950692020858,강원특별자치도 원주시 명륜1동,강원특별자치도 원주시 명륜1동
2025 원주만두축제,중앙동,37.3494276381688,127.950749503169,강원특별자치도 원주시 중앙동,강원특별자치도 원주시 중앙동
원주문화의거리 치맥축제,중앙동,37.3494276381688,127.950749503169,강원특별자치도 원주시 중앙동,강원특별자치도 원주시 중앙동
경포 벚꽃 축제,운정동,37.7878928294227,128.8955083064,강원특별자치도 강릉시 운정동,강원특별자치도 강릉시 운정동
남산 벚꽃 축제,노암동,37.745196767624,128.900417496589,강원특별자치도 강릉시 노암동,강원특별자치도 강릉시 노암동
난설헌문화제,초당동,37.7918714159225,128.915965886695,강원특별자치도 강릉시 초당동,강원특별자치도 강릉시 초당동
초당 미식로드 축제,초당동,37.7918714159225,128.915965886695,강원특별자치도 강릉시 초당동,강원특별자치도 강릉시 초당동
강릉 차문화 축제,죽헌동,37.7807578788175,128.855242116767,강원특별자치도 강릉시 죽헌동,강원특별자치도 강릉시 죽헌동
2025 강릉단오제,성내동,37.7525988287179,128.893209456113,강원특별자치도 강릉시 성내동,강원특별자치도 강릉시 성내동
강릉 비치비어 페스티벌,강문동,37.7896488840986,128.921229994936,강원특별자치도 강릉시 강문동,강원특별자치도 강릉시 강문동
경포 썸머 페스티벌,강문동,37.7896488840986,128.921229994936,강원특별자치도 강릉시 강문동,강원특별자치도 강릉시 강문동
강릉 국가유산 야행,용강동,37.7522655718686,128.890400847221,강원특별자치도 강릉시 용강동,강원특별자치도 강릉시 용강동
경포 등 축제,운정동,37.7878928294227,128.8955083064,강원특별자치도 강릉시 운정동,강원특별자치도 강릉시 운정동
제4회 강릉 누들 축제,임당동,37.7562905501751,128.894438191898,강원특별자치도 강릉시 임당동,강원특별자치도 강릉시 임당동
제 17회 강릉커피축제,견소동,37.7739891773956,128.940549011181,강원특별자치도 강릉시 견소동,강원특별자치도 강릉시 견소동
2025 강릉크리스마스 겨울축제,금학동,37.7529956812473,128.895420654926,강원특별자치도 강릉시 금학동,강원특별자치도 강릉시 금학동
제12회 전천축제,북평동,37.4838308233309,129.125223115384,강원특별자치도 동해시 북평동,강원특별자치도 동해시 북평동
2025 무릉별유천지 라벤더축제,삼화동,37.458061834786,129.006183895882,강원특별자치도 동해시 삼화동,강원특별자치도 동해시 삼화동
2025 묵호 도째비 페스타,묵호동,37.5586754265223,129.114239769923,강원특별자치도 동해시 묵호동,강원특별자치도 동해시 묵호동
제7회 묵호등대 논골담길 축제,묵호동,37.5586754265223,129.114239769923,강원특별자치도 동해시 묵호동,강원특별자치도 동해시 묵호동
