datetime,hour,STN,TA,RN,SD_TOT
2023-08-14,8,131,27.0,0.0,
2023-08-14,9,131,28.0,0.0,
2023-08-14,10,131,29.6,0.0,
2023-08-14,11,131,31.2,0.0,
2023-08-14,12,131,30.6,0.0,
2023-08-14,13,131,31.5,0.0,
2023-08-14,14,131,32.2,0.0,
2023-08-14,15,131,32.9,0.0,
2023-08-14,16,131,33.0,0.0,
2023-08-14,17,131,34.2,0.0,
2023-08-14,18,131,33.0,0.0,
2023-08-14,19,131,31.2,0.0,
2023-08-14,20,131,29.5,0.0,
2023-08-14,21,131,28.9,0.0,
2023-08-14,22,131,28.4,0.0,
2023-08-14,23,131,28.2,0.0,
2023-08-15,0,131,27.7,0.0,
2023-08-15,1,131,27.6,0.0,
2023-08-15,2,131,27.0,0.0,
2023-08-15,3,131,26.7,0.0,
2023-08-15,4,131,26.5,0.0,
2023-08-15,5,131,26.2,0.0,
2023-08-15,6,131,25.8,0.0,
2023-08-15,7,131,26.2,0.0,
2023-08-15,8,131,26.7,0.0,
2023-08-15,9,131,28.5,0.0,
2023-08-15,10,131,29.8,0.0,
2023-08-15,11,131,30.5,0.0,
2023-08-15,12,131,31.7,0.0,
2023-08-15,13,131,32.5,0.0,
2023-08-15,14,131,32.7,0.0,
2023-08-15,15,131,33.0,0.0,
2023-08-15,16,131,32.5,0.0,
2023-08-15,17,131,33.2,0.0,
2023-08-15,18,131,32.5,0.0,
2023-08-15,19,131,31.2,0.0,
2023-08-15,20,131,29.8,0.0,
2023-08-15,21,131,29.1,0.0,
2023-08-15,22,131,28.3,0.0,
2023-08-15,23,131,28.1,0.0,
2023-08-16,0,131,27.5,0.0,
2023-08-16,1,131,26.8,0.0,
2023-08-16,2,131,26.7,0.0,
2023-08-16,3,131,26.3,0.0,
2023-08-16,4,131,26.1,0.0,
2023-08-16,5,131,25.6,0.0,
2023-08-16,6,131,25.2,0.0,
2023-08-16,7,131,25.4,0.0,
2023-08-16,8,131,25.6,0.0,
2023-08-16,9,131,26.8,0.0,
2023-08-16,10,131,28.0,0.0,
2023-08-16,11,131,29.4,0.0,
2023-08-16,12,131,30.5,0.0,
2023-08-16,13,131,31.7,0.0,
2023-08-16,14,131,32.3,0.0,
2023-08-16,15,131,32.2,0.0,
2023-08-16,16,131,31.8,0.0,
2023-08-16,17,131,31.1,0.0,
2023-08-16,18,131,30.1,0.0,
2023-08-16,19,131,29.0,0.0,
2023-08-16,20,131,28.3,0.0,
2023-08-16,21,131,27.8,0.0,
2023-08-16,22,131,27.3,0.0,
2023-08-16,23,131,26.7,0.0,
2023-08-17,0,131,26.2,0.0,
2023-08-17,1,131,25.8,0.0,
2023-08-17,2,131,25.6,0.0,
2023-08-17,3,131,25.5,0.0,
2023-08-17,4,131,25.2,0.0,
2023-08-17,5,131,24.7,0.0,
2023-08-17,6,131,24.2,0.0,
2023-08-17,7,131,24.8,0.0,
